id,adult,backdrop_path,genre_ids,vote_count,original_language,original_title,poster_path,title,video,vote_average,popularity,overview,release_date
627468,FALSE,/hdUe8pOEkuLqhObuoZAUTEr0brO.jpg,"c(10749, 10770)",16,en,Christmas in Louisiana,/vVna6KgfSqy1tdbztXodrZcOGx4.jpg,Christmas in Louisiana,FALSE,6.7,6.169,"The Winter Family is Christmas royalty in New Iberia, Louisiana, and Sarah Winter, a successful lawyer and former Miss Christmas, is no exception. When she returns home to celebrate the anniversary of the town’s Sugarcane Christmas Festival, she rediscovers the magic of the season—and a little romance—with her former Mister Christmas, Luke.",2019-11-16
630923,FALSE,/jJlM7XxfWdAhWx6BeqFYJWIceId.jpg,"c(10749, 10770)",8,en,It's Beginning to Look A Lot Like Christmas,/vYEpId8nCN9wcE4cXSSqG3cw82p.jpg,It's Beginning to Look A Lot Like Christmas,FALSE,6.1,7.383,"When a New England Christmas decorating competition searches for the town with the most Christmas spirit, the Mayors of East and West Riverton go all out to get their towns to the top of the holiday heap.",2019-12-22
15875,FALSE,/jYRvBWkRvLzQxjFtVmNRhPWFzB8.jpg,"c(12, 35, 10749)",81,en,Donovan's Reef,/7N64z2nhpYxFqangiyVuO7rDYBr.jpg,Donovan's Reef,FALSE,6.2,7.318,"'Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.",1963-06-12
626309,FALSE,/rjzkLxLm4RDVGHIzhZWXJr3rUeG.jpg,"c(10770, 10749)",7,en,Christmas at Dollywood,/wJS8MfxkzdjjfCweZUKdlXKZamr.jpg,Christmas at Dollywood,FALSE,7.7,7.645,"Event planner Rachel lands her biggest job yet – Dollywood's 30th Smoky Mountain Christmas celebration, where she’s teamed with operations director Luke to plan an event as glamorous as Dolly Parton herself. Sparks fly, but it takes matchmaking by Dolly to help them find their way.",2019-12-08
82376,FALSE,/5LZDfrwqljjPDZv0SMdWZEmXKzu.jpg,"c(35, 10749, 10751, 10770)",8,en,His and Her Christmas,/k4noWVQITVWyydpOZjCGl8S9t1t.jpg,His and Her Christmas,FALSE,4.9,6.125,"Tom Lane is the star columnist for the media conglomerate owned San Francisco Sun newspaper. The company is thinking about increasing Tom's exposure by producing a new television show around him. Liz Madison is the advice columnist for the little read community newspaper, the Marin County Voice, which is a throwback to gentler times. Besides their journalistic occupations, one other similar aspect between Tom and Liz is that they are both currently single, with their friends and family doing whatever they can to find that special someone for their personal life. On November 2, the staff at the Voice learn that the Sun ownership has bought their newspaper, with the probable goal of folding it into the operations of the Sun. If this move does happen, the staff at the Voice will lose their jobs. To fight back, Liz decides to change her column to an editorial espousing the meaning of Christmas and the newspaper to the community...",2005-12-19
149032,FALSE,/3fM18E0xaGfymKJrfSI1n8QKnZZ.jpg,"c(35, 10749, 10751, 10770)",30,en,The Mistle-Tones,/hBrnbTriZlPpWdWCC3rjlBUbVG7.jpg,The Mistle-Tones,FALSE,6.3,5.283,"Holly, blessed with an amazing singing voice, is all set to audition for the newly vacated spot in a legendary local Christmas group which was founded by her late mother years ago. Shocked and upset when the slot goes to the barely talented best friend of the group's leader, Marci, Holly sets out to create her own musical group, The Mistle-Tones. After challenging their rivals to a sing-off on Christmas Eve, Holly finds herself on a journey to the real meaning of Christmas with some new friends and a new love thrown in for good measure.",2012-12-09
479614,FALSE,/2N0XZxyPB8WSPcmijVSywyezV1e.jpg,"c(18, 10749, 10770)",21,en,Christmas Homecoming,/6tviM77Kfi2bfvyrMLQ4fAHkz6e.jpg,Christmas Homecoming,FALSE,6.3,5.523,"A military widow, whose faith in Christmas has lapsed, rents an apartment to a handsome Army Captain, recovering from an injury in battle, and whose faith in Christmas is inspirational. As they team up to save the town’s military museum with a Christmas fundraising event, these two ‘wounded birds’ find themselves falling in love — and being healed by the magic of Christmas.",2017-11-18
648163,FALSE,/xCTYqzpkX21Gi1ZXqaIbs0pDHjf.jpg,"c(35, 10749, 10770)",4,en,The Christmas Cabin,/hjRMZsbcTEYjXIyNkakGa3qIfk8.jpg,The Christmas Cabin,FALSE,6.1,5.043,"When Seth unknowingly interrupts Sammi's quiet holiday getaway at her family cabin, their hearts get more than they bargain for; The Christmas Cabin is a romantic comedy about finding unexpected love with a little help from the Christmas season.",2019-11-04
487045,FALSE,/xS8LrAG1hMuXeYFRqzFk2iEnAea.jpg,"c(10749, 18, 10770)",24,en,Snowmance,/sXPTx7lelMZMdvRy7EbjaPq9BXX.jpg,Snowmance,FALSE,5.7,6.811,"No man is perfect enough for Sarah Groves, except perhaps the impressive snowmen she sculpts annually with her childhood pal, Nick. In mid-December, her snowman disappears, and in his place, materializes Cole, who seems too perfect for Sarah to be true.",2017-11-20
362886,FALSE,/AoTx9eB4CrydpcAn4NwNNRJ8uVH.jpg,"c(10749, 10770)",35,en,'Tis the Season for Love,/n8kuIhdDNbQf5lvjGLbvEb1ntA4.jpg,'Tis the Season for Love,FALSE,5.8,5.43,An out-of-work New York City actress returns home to the quaint small town she escaped 10 years before and finds a place far different than the hamlet she left. She suddenly finds performing possibilities and even romance that kind of blow her away.,2015-11-01
